attendance,marks,study_hours,distance_from_home,annual_income,previous_marks,backlogs,assignments_completed,participation,dropout
82,85,2,11,351428,61,3,71,9,0
53,89,1,14,745201,90,4,80,2,1
55,52,6,3,620715,98,1,46,5,0
89,69,2,14,243363,90,1,83,3,0
70,93,6,11,577678,75,4,83,7,0
58,52,3,4,912586,97,3,53,3,1
44,58,6,17,882234,84,3,62,5,1
74,80,1,16,912082,30,3,86,5,0
94,98,4,3,605092,96,4,40,2,1
38,60,3,10,299813,78,4,71,1,1
30,79,5,15,333420,54,0,80,6,1
37,49,2,8,195830,45,1,65,1,1
92,84,1,18,398345,42,2,87,9,0
40,31,3,3,532695,81,2,48,5,1
37,54,3,7,172920,65,1,55,1,1
64,42,1,10,313869,73,0,70,8,1
64,99,5,9,561811,76,1,41,1,0
62,96,5,14,787094,49,0,71,4,0
34,87,4,14,844287,47,0,49,7,1
70,93,7,11,181451,83,3,64,4,0
57,98,6,1,861177,41,1,57,5,1
36,88,5,4,474313,54,2,84,7,0
41,89,4,6,199978,89,4,73,4,1
63,91,6,5,142568,63,4,68,5,0
62,45,3,3,872874,42,1,84,7,1
77,97,1,2,781153,67,4,63,1,1
52,44,5,3,414348,41,0,42,3,1
91,84,4,9,804825,65,4,54,1,1
66,64,3,19,846201,57,0,42,3,0
73,84,5,19,816743,68,0,94,2,0
64,43,2,17,641055,72,2,70,5,0
94,78,7,18,400796,60,4,49,5,0
76,36,3,11,576948,31,2,77,9,0
32,59,5,12,184244,71,4,94,8,1
30,78,3,3,506599,60,0,61,3,0
34,45,1,18,564000,90,4,53,1,1
43,80,1,6,463877,85,2,48,5,1
56,71,7,7,422233,43,3,57,3,1
38,46,1,1,126440,43,2,47,5,1
44,92,6,6,414587,58,3,98,9,1
71,74,2,18,942757,79,1,77,1,0
80,36,1,13,842126,79,2,54,1,1
92,56,2,19,850550,92,4,85,9,0
81,39,1,7,155919,94,3,54,3,1
33,63,6,19,247683,97,4,91,5,1
52,65,3,9,294555,40,3,45,9,1
44,54,5,3,515673,43,2,93,5,0
72,35,5,12,926965,32,2,51,3,1
58,53,1,18,461970,37,4,81,9,1
65,47,5,8,723283,72,2,58,7,0
42,35,1,9,783641,38,4,79,7,1
61,58,1,13,953707,48,0,44,8,0
88,54,7,8,771813,41,3,66,5,0
57,84,4,10,995176,56,4,49,2,1
95,75,4,17,119507,87,3,82,9,0
71,53,7,7,834756,54,0,91,3,0
74,55,4,17,842004,74,3,85,2,0
91,57,2,18,566401,77,4,53,5,1
86,32,4,2,592807,79,2,73,8,0
35,67,1,3,375337,73,3,97,3,1
57,90,6,19,589774,88,3,88,6,1
57,80,6,1,459336,62,0,54,9,0
73,77,3,10,862431,57,1,68,2,0
59,50,4,14,836809,47,2,94,8,0
91,83,6,13,426186,84,4,65,7,0
91,85,4,9,421660,62,0,66,3,0
30,88,3,6,624168,44,4,42,1,1
56,80,6,6,574381,90,4,42,6,1
91,49,1,19,261764,40,3,74,2,1
32,88,2,10,956922,65,0,97,3,0
99,38,7,3,133512,44,0,99,5,1
56,30,7,18,766079,82,2,74,8,1
38,58,7,19,810787,91,1,89,2,0
91,92,4,5,112402,77,4,45,6,0
66,85,6,11,989312,44,2,53,1,0
80,97,6,10,744052,92,2,65,7,0
73,64,3,17,764576,72,4,42,4,0
53,32,1,4,345739,79,3,72,1,1
88,36,5,18,131050,89,3,81,9,1
61,56,6,18,720096,88,4,52,9,0
81,30,2,1,150093,44,0,68,3,1
91,73,3,14,105050,58,1,48,6,0
87,70,6,8,933148,69,3,71,7,0
81,71,6,2,215455,60,1,61,4,0
41,62,3,19,495654,40,2,61,6,1
68,79,3,15,616929,91,2,97,9,0
31,92,4,2,995118,37,4,96,6,1
32,66,6,4,671719,80,4,73,7,1
85,88,5,1,343445,86,4,49,6,0
88,77,2,19,378904,33,3,64,7,0
31,34,1,10,771833,65,1,51,1,1
31,77,1,1,143815,48,2,90,6,1
83,32,5,15,817820,53,1,42,9,0
30,76,3,4,502473,70,3,58,3,1
48,91,3,7,712274,78,1,72,6,0
31,43,3,7,125634,75,1,97,4,1
82,92,6,18,422547,65,4,86,7,0
73,90,3,13,146573,39,1,94,7,0
61,60,3,10,848072,36,1,65,9,0
99,46,6,8,751387,41,1,52,4,1
61,53,6,10,896728,77,0,46,8,0
97,52,5,14,553413,66,2,73,8,0
84,79,4,14,908391,65,2,61,8,0
85,99,6,11,114570,89,1,59,8,0
46,56,2,6,397567,37,4,82,6,1
67,44,3,1,180263,36,4,62,8,1
53,79,4,19,511115,72,4,87,6,1
98,65,1,7,791145,87,2,53,2,0
99,37,5,18,212446,75,3,69,3,1
40,32,4,3,818166,63,1,62,6,1
45,91,6,11,943395,51,2,86,7,0
88,76,3,5,598863,50,4,91,4,0
99,90,3,19,571091,44,2,58,1,0
32,61,3,2,134341,34,2,78,4,0
49,42,4,4,629885,46,2,80,6,1
88,30,3,10,585864,48,4,75,8,1
65,63,6,2,595446,34,3,45,4,0
48,91,4,8,503460,52,0,62,1,1
96,60,3,1,759156,43,1,49,5,0
48,93,1,6,207127,39,1,74,7,1
49,54,1,11,175589,60,2,60,6,1
81,67,2,10,521744,42,3,71,3,1
62,43,3,13,871280,51,4,99,7,1
69,37,3,1,511864,66,0,69,4,0
68,83,4,2,970399,68,0,72,5,0
30,31,4,3,231607,39,2,45,7,1
40,85,7,9,410613,60,2,44,2,1
86,90,3,5,295984,72,4,94,4,0
79,51,2,10,930925,65,4,54,4,0
52,64,3,10,670073,64,4,96,6,1
60,45,6,12,877426,97,2,82,7,0
71,79,4,18,447161,84,3,91,4,0
36,72,3,1,469915,97,2,64,1,0
45,46,4,3,491170,76,2,52,1,1
89,87,3,5,594593,35,0,45,5,0
31,31,5,17,607483,57,4,76,1,1
30,33,4,8,559777,59,1,41,3,1
77,68,2,17,786229,56,4,56,9,0
41,35,5,9,296166,98,3,63,3,1
98,98,6,6,855715,68,3,51,3,1
66,98,3,17,130192,64,4,83,9,0
61,49,7,8,300229,73,4,93,5,1
38,93,6,7,704229,44,2,53,8,1
48,45,4,7,943976,61,1,46,9,1
77,80,5,15,759763,58,2,93,6,0
32,66,6,7,807870,92,0,65,7,0
49,98,2,8,105017,35,0,71,7,1
53,71,7,9,270275,56,3,68,7,1
83,86,4,15,811833,57,3,85,4,0
62,95,5,2,283195,34,1,78,2,0
53,38,6,7,410404,70,3,48,2,1
65,93,5,15,145938,85,0,53,7,0
67,51,5,18,289001,83,1,92,7,0
54,63,6,18,185265,47,0,56,7,1
47,84,1,10,587182,72,4,88,8,1
95,58,3,18,990552,58,4,64,3,0
83,67,4,1,268444,39,1,92,5,0
64,47,4,7,988160,35,2,69,6,1
90,94,7,3,808612,33,3,84,8,0
70,30,7,14,376772,63,1,68,8,0
62,33,7,12,485383,62,3,98,3,1
97,33,4,14,243573,33,0,68,4,1
62,56,5,4,742453,73,2,57,6,0
43,72,7,13,975534,60,3,70,4,1
50,88,6,16,975792,95,4,58,4,1
77,61,3,16,743634,87,4,56,5,0
49,62,2,5,430492,89,0,45,7,0
37,57,4,6,460492,31,1,51,2,1
36,84,6,6,192862,65,3,77,2,1
96,89,3,18,346393,99,0,42,9,0
46,99,3,6,621627,89,4,86,4,1
62,91,1,7,109402,52,4,74,5,0
77,63,6,16,716149,76,4,94,3,0
88,85,4,9,282992,75,2,86,2,0
51,42,7,13,362084,73,2,72,8,1
59,85,5,12,731377,48,4,92,4,1
67,47,7,19,650288,78,1,68,1,1
80,83,3,1,976227,87,2,42,6,0
83,72,3,8,737173,36,3,44,6,0
37,68,2,4,822822,70,2,98,2,1
56,90,7,19,892420,44,3,53,2,1
56,71,1,5,305351,82,2,75,8,1
50,47,3,17,943431,52,4,93,7,1
59,52,3,3,340456,94,3,67,2,0
57,83,5,19,312690,89,1,80,1,1
93,59,5,1,546642,39,2,71,8,0
98,87,2,1,213174,87,2,57,2,0
90,97,6,9,854270,76,4,81,5,0
77,96,2,5,305471,44,3,79,6,0
48,47,2,7,684947,38,4,52,1,1
33,36,5,6,870064,42,3,41,2,1
64,69,7,17,195343,52,2,91,4,0
93,99,7,17,515334,62,2,64,2,0
78,94,7,13,283097,38,2,59,6,0
46,97,6,12,159938,32,2,46,4,1
73,78,5,4,105149,54,0,50,3,0
59,81,1,8,662367,65,2,44,6,1
75,58,4,5,757844,49,2,68,9,0
35,50,4,5,583943,83,3,57,8,1
66,38,1,13,475460,48,2,47,2,1
53,76,7,11,410745,89,2,66,3,0
75,71,4,8,614681,66,3,97,2,0
82,80,6,8,873253,32,2,81,7,0
89,85,5,1,930241,48,2,41,9,0
92,80,4,13,251863,82,4,74,1,0
61,99,6,5,824703,75,0,65,3,0
62,49,5,8,257720,85,3,62,6,1
96,56,6,17,524306,99,4,44,4,0
47,67,1,13,452780,60,1,55,1,1
54,94,2,9,754654,82,1,81,9,0
83,83,1,2,327557,63,0,50,7,0
87,53,4,19,201477,60,1,58,7,0
96,76,5,17,117857,89,0,55,1,0
75,92,6,7,293399,40,1,71,9,0
53,86,4,3,867876,35,1,51,8,1
61,84,4,19,324458,56,4,41,5,0
76,89,2,19,873386,36,1,82,4,0
52,91,7,9,274039,78,0,61,1,1
95,59,4,10,940141,89,2,65,9,0
56,51,2,14,279933,62,2,72,8,0
31,58,5,18,741127,76,2,63,2,1
46,70,5,15,824078,73,0,44,4,0
62,71,6,1,223307,56,0,60,4,0
38,94,7,6,222850,51,2,85,7,0
72,60,2,15,120948,76,1,57,3,0
77,59,1,6,395926,77,2,78,8,0
68,47,5,18,806116,59,3,44,7,1
71,46,7,1,969221,31,0,47,4,1
55,67,6,3,729505,44,3,60,9,1
79,43,1,17,856391,76,3,86,6,1
54,85,5,16,299460,56,0,96,3,1
53,51,5,8,577744,56,2,44,7,1
42,96,6,17,238721,42,4,52,6,1
89,85,6,8,784362,84,3,58,8,0
36,48,3,17,659011,46,2,68,5,1
86,86,4,9,174314,88,4,41,6,0
65,73,4,12,976744,39,3,76,1,1
74,64,1,19,301157,62,2,65,8,0
49,30,4,4,312471,66,3,68,1,1
94,81,1,11,898241,37,2,97,3,0
37,99,7,4,763662,62,1,44,2,1
45,66,5,14,370244,36,1,71,6,1
43,94,3,14,823807,63,0,77,8,0
44,80,3,6,439771,36,4,87,8,1
95,30,5,17,698923,70,3,41,7,1
61,50,6,2,417164,84,3,44,7,0
92,82,2,8,629951,36,2,86,8,0
80,45,2,4,981872,47,4,72,5,1
54,90,4,10,587043,72,3,90,3,1
87,83,6,7,800009,69,4,74,2,0
92,69,1,4,933568,82,4,58,3,1
91,55,7,16,870602,43,1,54,3,0
51,94,3,14,880143,50,3,74,7,1
87,93,4,16,993034,86,3,47,1,0
87,72,5,9,660392,75,0,86,7,0
78,46,6,4,663425,55,4,40,6,1
81,88,3,6,495750,53,2,77,2,0
71,52,1,1,954194,34,1,61,1,0
99,36,1,7,545661,71,0,56,9,1
44,73,2,1,764945,72,1,55,2,1
83,82,4,19,586163,61,2,84,4,0
89,63,5,8,853830,35,0,40,9,0
37,75,3,3,438582,96,1,42,9,1
82,97,7,1,136392,36,2,95,1,0
89,45,1,1,970699,58,0,45,2,1
34,48,3,7,314396,63,2,91,2,1
97,31,5,13,262198,36,0,92,2,1
35,39,3,1,404629,87,3,97,8,1
76,79,4,16,604121,60,3,42,8,0
84,41,2,14,866767,74,1,86,8,0
69,99,3,4,407942,76,4,69,4,0
81,51,6,12,823670,69,4,86,8,0
45,61,2,12,240089,59,2,50,7,1
42,30,5,17,781060,91,0,66,8,1
59,83,2,15,977112,46,3,61,1,1
48,87,3,10,195446,34,4,45,3,1
46,99,3,3,601670,30,3,77,6,1
92,47,6,12,278751,60,2,80,1,0
48,35,1,1,323293,64,2,85,4,1
87,74,6,1,189938,59,0,70,9,0
84,52,3,10,137232,44,4,97,7,0
91,52,7,18,850959,85,2,82,1,0
52,55,2,15,582877,89,2,95,6,0
38,36,6,2,517236,56,3,45,6,1
41,73,6,17,983671,31,1,89,2,1
30,56,7,8,157172,93,4,59,6,1
87,55,7,9,459449,34,0,86,2,0
30,65,7,11,244818,97,0,93,8,0
63,84,1,6,353048,42,3,80,7,1
77,93,3,14,628382,52,0,50,6,0
30,86,3,1,168466,79,2,41,6,0
45,98,5,7,985499,66,4,70,9,1
90,90,1,9,392899,59,0,77,9,0
93,31,5,11,326713,52,4,65,2,1
92,84,5,16,242624,63,0,66,3,0
98,67,5,19,594970,93,1,97,7,0
51,58,4,2,290563,84,1,97,9,0
96,55,5,15,391144,38,4,94,6,0
55,64,6,3,840999,33,1,85,1,1
45,96,2,4,157564,95,1,85,7,0
80,58,6,7,769462,62,2,70,1,0
86,63,6,12,232933,61,0,63,5,0
58,70,3,4,405718,73,1,52,9,0
98,70,4,10,263754,66,4,64,9,0
76,52,5,6,703107,96,2,76,1,0
91,32,3,14,453277,89,1,80,6,0
98,87,1,3,345869,88,4,64,3,0
45,61,1,17,702260,65,0,68,9,1
77,60,3,11,980392,78,1,70,3,0
68,72,2,10,820545,80,4,82,2,0
62,36,3,10,960858,37,4,78,8,1
52,30,3,10,662585,79,3,41,3,1
39,90,4,3,623392,70,4,95,5,1
98,43,1,15,738435,67,3,51,6,1
63,81,1,17,632587,84,0,44,1,0
81,35,5,18,665672,97,0,66,7,0
39,39,6,19,479326,47,2,95,7,1
48,59,3,19,438837,94,3,73,5,1
87,50,3,12,850659,93,4,53,9,0
30,89,2,5,919119,41,2,46,2,1
98,92,7,16,819937,70,2,76,5,0
33,71,7,15,422191,71,0,75,2,1
45,80,1,15,241263,89,4,49,2,1
53,93,2,6,287956,79,3,68,9,1
31,85,4,12,417055,65,0,55,7,0
61,70,5,2,963735,77,2,77,4,0
53,61,2,9,576663,37,1,60,8,0
41,44,1,4,980597,54,2,77,4,1
79,91,4,5,200330,36,1,80,1,0
64,56,3,8,454624,37,0,72,3,0
62,57,4,10,274798,60,3,68,1,0
62,93,6,7,134623,41,4,87,2,1
90,88,2,14,606583,86,1,98,2,0
80,87,1,5,737507,95,4,56,7,0
72,31,2,16,354398,41,0,52,4,1
41,65,3,15,314589,56,0,45,9,1
96,42,7,5,747377,75,0,41,2,1
94,44,3,3,412144,36,3,47,9,1
62,89,1,10,433638,90,1,94,6,0
69,51,6,5,573457,87,4,93,8,0
72,92,5,15,458316,87,2,71,7,0
73,54,4,18,818387,42,0,75,8,0
58,77,4,8,814355,82,4,48,9,1
42,72,3,2,929308,94,4,62,8,1
41,67,2,8,218217,78,3,46,6,1
75,70,7,8,452832,64,1,70,8,0
31,74,2,4,990497,46,3,60,8,1
64,69,6,19,690512,96,3,40,2,1
37,46,5,18,649653,39,4,85,2,1
55,86,2,1,129663,63,1,41,1,1
63,31,4,15,466754,33,1,79,2,1
36,91,7,18,203376,58,1,50,7,0
97,38,2,12,707563,75,0,76,3,0
87,97,7,1,609591,75,1,57,4,0
58,46,5,7,556427,88,4,83,4,1
65,79,4,19,241981,90,0,92,4,0
50,69,7,1,685171,97,2,63,2,1
65,87,2,7,374857,95,3,91,6,0
39,50,4,2,243686,63,1,58,1,1
53,47,3,7,600841,34,2,44,5,1
93,84,3,19,984529,38,1,68,2,0
78,58,6,13,120734,49,3,78,9,0
65,53,3,5,516101,50,4,41,2,1
53,46,2,19,695910,46,4,56,6,1
52,47,5,1,702555,41,3,84,4,1
91,71,4,1,506557,96,2,50,6,0
66,74,7,18,663723,34,0,76,2,0
41,46,1,1,112976,89,0,52,2,1
84,43,3,5,707198,82,1,68,7,0
42,78,3,9,617969,81,3,94,3,1
52,58,1,12,498506,77,3,71,3,1
59,33,7,9,754465,48,0,84,7,1
46,49,7,18,670100,46,2,79,8,1
91,76,1,11,998273,83,3,82,7,0
42,38,7,1,811759,97,4,47,3,1
88,56,2,19,541653,64,4,49,3,1
48,44,7,10,320194,70,3,64,7,1
78,48,4,2,420051,42,2,98,3,1
41,81,7,7,220992,62,4,50,2,1
90,55,3,2,968308,44,2,67,7,0
48,55,5,19,541939,92,0,72,3,0
38,55,2,6,922087,44,1,78,5,1
57,75,2,10,345170,60,0,65,7,0
81,78,7,9,311168,57,1,47,2,0
45,82,5,8,386141,39,4,77,8,1
98,32,5,11,166876,86,1,65,2,1
41,95,6,9,734521,62,1,71,4,0
54,71,5,9,746948,36,3,85,4,1
81,48,7,8,257085,34,1,67,8,0
82,46,7,15,132862,86,3,91,1,1
52,62,1,2,676736,69,1,46,9,1
45,78,3,1,581034,57,3,74,6,1
86,85,6,9,538824,65,4,41,4,0
68,92,7,9,971044,85,4,61,6,0
82,32,1,13,218849,76,1,89,6,0
71,78,6,8,271966,69,2,61,9,0
87,84,3,5,281721,88,4,97,4,0
68,55,6,3,162104,72,0,42,8,0
43,81,1,4,307531,95,0,85,1,1
34,36,4,17,664109,38,3,89,6,1
64,75,7,16,279012,35,2,84,5,0
47,75,3,16,614618,94,3,47,3,1
38,45,2,3,766295,32,1,43,4,1
87,53,3,6,582793,66,4,54,8,0
46,90,3,1,112467,62,2,83,2,0
36,83,3,16,615907,38,3,85,8,1
75,91,4,15,107691,82,3,91,7,0
42,30,7,7,539754,80,0,78,1,1
69,78,1,2,754403,55,1,95,2,0
71,54,7,10,255562,45,3,51,7,1
38,39,2,15,902120,69,0,68,3,1
79,45,1,6,722793,80,2,48,2,1
56,87,6,2,150650,68,3,81,1,1
95,58,6,17,769189,84,0,79,7,0
34,35,6,1,758446,65,1,59,3,1
58,45,1,1,340681,94,4,73,6,1
66,49,5,4,102590,74,2,65,8,0
67,72,4,16,697684,38,3,87,6,0
37,55,5,8,491941,66,0,60,7,0
94,62,7,1,167484,30,3,62,6,0
46,55,6,19,202267,95,4,57,7,1
74,74,4,11,330069,92,3,91,5,0
33,92,1,17,138131,72,3,93,9,1
65,96,6,10,275965,57,0,63,3,0
99,81,1,12,374068,60,4,81,6,0
60,97,4,9,728479,98,2,68,9,0
48,55,1,7,504067,37,0,77,1,1
90,31,1,12,894166,63,4,77,5,1
83,43,2,15,273753,78,4,93,4,1
68,59,7,8,869855,87,3,91,9,0
48,78,5,17,744693,76,1,52,1,1
68,41,5,5,105293,54,1,71,4,0
96,73,5,14,415347,32,2,58,1,0
74,62,3,2,605365,74,3,56,3,1
42,42,2,16,954259,81,1,41,4,1
87,55,6,17,767751,63,0,57,1,0
49,50,6,3,856362,98,2,97,5,0
90,57,6,1,865230,37,3,78,6,0
68,77,5,18,884030,56,0,66,1,0
30,69,7,18,404114,92,1,53,4,0
32,95,5,4,802183,54,1,93,4,0
91,52,7,15,392940,87,1,54,1,0
92,77,2,19,199345,77,1,47,2,0
54,31,7,19,707415,30,4,48,5,1
85,49,1,10,863536,37,2,60,2,1
62,88,5,5,660677,50,2,82,3,0
67,75,6,19,365496,58,1,74,9,0
35,32,1,11,484287,59,2,91,5,1
87,84,5,7,576814,32,0,53,1,0
73,41,4,5,783532,36,0,66,5,0
74,69,3,12,766297,40,2,47,3,0
61,95,5,19,717945,61,1,74,1,0
74,45,4,15,573354,88,3,57,3,1
90,63,2,12,993708,41,1,94,6,0
76,73,4,4,975104,67,4,53,5,0
50,35,2,12,821841,53,3,91,1,1
65,93,5,18,578564,94,4,47,2,1
48,51,2,17,304581,47,2,88,5,0
49,47,4,19,111290,75,4,47,9,1
86,41,7,16,911555,85,2,76,5,0
47,81,3,11,312991,92,4,83,5,1
76,80,1,2,152136,36,3,41,1,1
78,77,1,16,217278,95,4,56,5,0
43,48,3,1,585208,69,1,52,8,1
44,35,6,17,514643,83,2,93,9,1
60,56,1,18,626545,60,0,53,3,0
30,82,5,13,692021,81,4,80,4,1
83,77,6,5,763582,60,2,80,7,0
32,36,5,6,256259,63,0,48,7,1
45,88,4,1,835048,36,2,66,1,1
86,98,4,10,513997,45,2,59,6,0
41,40,6,5,750178,51,0,77,9,1
45,44,6,1,488826,82,0,51,5,1
53,93,6,11,504220,46,3,81,8,1
57,32,6,7,469322,33,4,61,9,1
37,98,2,18,944032,90,4,76,3,1
65,52,7,10,256587,81,2,89,1,0
37,82,6,15,705240,64,1,78,2,0
87,66,7,4,564904,73,1,70,5,0
89,38,6,16,565924,44,2,52,7,1
79,44,4,15,610798,90,3,40,6,1
57,32,5,15,190888,73,0,77,4,1
70,99,7,12,348492,50,2,92,9,0
93,46,4,8,747899,76,4,92,4,1
56,55,1,8,678764,78,1,79,3,1
92,50,2,18,458423,82,1,48,5,0
46,50,2,6,192154,56,1,78,4,0
62,40,5,5,222537,60,3,49,2,1
58,67,6,2,803893,73,4,68,3,1
42,64,4,12,314075,61,3,79,7,1
75,43,1,4,449269,59,0,69,2,1
64,43,4,13,268702,47,2,41,1,1
35,39,6,17,865604,92,2,57,2,1
98,41,6,16,436243,45,1,67,8,1
76,67,3,9,584006,64,1,86,8,0
54,63,4,1,868595,91,0,71,2,1
95,70,5,15,753257,38,3,63,6,0
39,39,4,12,509801,91,4,77,7,1
85,46,2,5,720121,68,0,95,1,1
59,46,1,18,935672,80,2,53,7,1
34,96,7,2,901204,39,2,64,8,1
62,91,5,4,835351,81,3,64,9,0
94,30,3,15,565051,41,0,71,8,0
47,41,1,6,306796,91,4,66,3,1
78,33,1,12,473134,32,0,93,8,1
40,71,7,18,212315,40,0,71,3,1
55,42,2,4,460197,37,3,95,6,1
92,33,2,1,973523,52,4,70,4,1
88,98,2,15,850219,39,2,89,7,0
56,48,5,18,773298,47,1,63,8,1
78,31,4,14,777343,68,4,74,6,1
62,41,1,3,768234,55,2,69,4,0
30,35,4,15,190341,40,3,72,8,1
50,37,4,5,160896,39,4,94,7,1
84,80,2,3,539425,32,4,72,8,0
35,40,4,7,132822,91,2,85,7,1
98,92,1,6,776110,90,2,66,3,0
34,86,1,1,988767,33,0,72,3,1
32,41,6,19,217828,90,0,72,9,1
82,31,3,7,484910,37,4,43,7,1
52,37,5,4,783306,42,1,69,1,1
82,40,4,12,232624,41,3,83,3,1
66,82,5,18,435475,64,2,54,1,0
46,39,5,9,236343,83,0,68,6,1
30,37,5,19,966633,80,3,67,2,1
80,65,7,4,952083,72,4,71,7,0
74,43,6,1,988349,95,2,75,8,0
33,83,5,9,260066,44,2,69,6,1
91,50,6,15,389330,78,0,81,5,0
94,79,1,8,130267,63,1,82,4,0
61,68,7,15,925572,68,2,77,9,0
63,49,4,15,869794,55,1,99,8,0
68,36,6,18,918180,98,3,81,5,1
55,38,3,7,714427,77,2,51,1,1
63,30,5,18,497053,80,2,42,8,0
83,55,7,16,689163,33,1,54,8,0
32,67,3,2,595053,56,0,87,7,0
79,67,1,4,293766,71,4,49,7,1
41,90,1,16,502826,85,3,61,8,1
94,73,2,3,128615,98,2,62,1,0
83,73,5,2,307716,47,0,50,3,0
34,91,2,3,990567,90,2,55,4,1
86,35,7,5,515563,33,3,88,6,1
46,46,3,2,658350,30,4,85,9,1
76,80,4,19,941554,79,2,55,4,0
52,67,2,2,279503,99,1,53,6,1
43,53,1,2,173086,49,0,45,9,1
95,80,5,18,390349,49,4,81,9,0
80,39,3,14,904891,75,2,56,6,0
67,50,6,15,867494,56,4,94,5,0
93,99,7,12,342407,55,1,70,3,0
67,86,7,11,341245,61,2,81,5,0
79,68,1,11,914161,39,4,92,3,1
59,62,6,7,350967,41,2,49,5,1
80,88,7,12,925017,53,2,85,1,0
92,47,4,16,183698,80,4,59,6,1
81,85,5,5,145635,67,2,88,7,0
67,86,4,2,275926,75,1,48,2,0
59,77,7,16,831586,37,4,54,3,1
80,71,4,15,653392,84,4,78,9,0
34,56,7,11,376914,60,1,41,8,1
58,81,5,6,359258,45,1,43,4,1
33,71,5,13,867993,49,1,91,8,0
39,61,6,19,569209,67,2,63,8,0
85,55,4,10,601554,44,2,57,6,0
46,54,3,19,773317,63,3,50,1,1
46,52,6,5,155178,48,2,76,2,1
98,86,5,7,981587,98,1,65,4,0
63,81,1,11,645116,92,3,47,4,0
35,60,7,14,903603,61,1,61,2,0
82,93,6,16,855209,66,0,91,9,0
95,62,2,18,554681,95,4,44,2,1
72,31,3,4,604879,36,0,41,6,1
52,47,7,1,623277,77,1,44,5,1
84,76,6,15,621827,40,2,74,4,0
45,62,5,14,801626,60,4,71,6,1
37,64,5,19,359595,73,2,83,4,0
33,80,3,5,801299,74,2,58,9,0
33,47,2,4,114202,85,4,78,7,1
85,59,6,13,792502,61,4,90,3,0
54,73,6,18,557044,50,0,43,4,1
96,82,4,12,187367,60,1,62,1,0
96,39,1,15,683334,30,2,85,6,1
56,81,5,9,371993,40,1,58,2,1
61,78,6,4,552488,97,1,65,4,0
79,40,6,5,775799,65,3,97,5,1
90,95,7,9,837886,88,0,89,8,0
80,87,7,13,441016,96,2,65,3,0
48,65,6,10,659632,85,4,46,6,1
50,62,2,16,284348,80,4,71,1,1
34,76,1,13,498267,58,1,86,9,0
71,42,6,4,175604,31,0,92,1,1
90,69,3,13,360408,35,0,72,2,0
51,97,5,8,864665,60,2,83,1,0
50,71,4,13,982982,83,2,65,8,0
99,48,7,15,698671,69,1,63,4,0
30,48,3,13,301489,46,1,90,2,1
